province_name,nama_komoditas,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,luar_wilayah_hektar,tahun,hasil_panen
jawa tengah,Cabai Rawit (Ton),25.031287671232874,31.62876712328767,27.9252602739726,79.68,15.990217436209582,5.149725495086774,5.58904370167891,216.64221054447543,2.3647465302053177,962471.0,2010.0,60399.0
gorontalo,Kangkung (Ton),23.64640889137948,32.70665597642368,27.41120649101732,81.01492185751805,10.651387653038029,7.078865025318666,5.779116465863454,219.6787148594377,1.710736980568783,32058.0,2015.0,147.0
bengkulu,Ketimun (Ton),22.75817351598173,30.40977168949772,25.813698630136987,86.13538537760171,16.221330812221222,4.6968337556724205,6.163976799057941,258.39375605219226,2.3513369842201803,92976.0,2010.0,29773.0
sumatera barat,Tomat (Ton),21.855554397217468,29.955113059696053,26.475513106342245,82.40262429266721,20.09928976105301,4.896357112631709,4.182677774119441,197.0562260781417,1.790191274298056,225890.0,2014.0,74139.0
sumatera barat,Paprika (Ton),22.03391224622473,30.59484997863849,26.4301187265376,84.13191252993559,19.68213952328867,5.365376166738065,3.968287098749519,184.4102970056236,1.571879547657512,226377.0,2015.0,0.0
bengkulu,Jamur (Ton),22.3730593607306,30.43680365296804,25.638995433789955,84.59452054794521,15.48913219971439,5.081496873983912,7.127428328029708,242.75342465753425,3.0951224519935594,90217.0,2011.0,5.63
banten,Labu Siam (Ton),23.724001827525058,32.60109897850637,27.400979181006743,79.37162393000742,12.726238531075358,4.957477906879085,5.63551912568306,191.8764040012368,2.27840782438074,195951.0,2012.0,861.0
kalimantan selatan,Bayam (Ton),23.65449871465296,32.05616966580977,26.810796915167096,83.02522817830234,13.971951105130476,4.698800689897709,4.539738843652302,197.9701430607723,2.517409031806288,451869.0,2012.0,2015.0
sulawesi tengah,Ketimun (Ton),23.632773109243697,31.883422459893048,27.396409472880062,80.08413523091254,12.29068520562597,5.428518538254076,4.926202360451613,235.6891561909736,2.320776348446284,143475.0,2012.0,3680.0
kalimantan tengah,Kacang Panjang (Ton),23.108093610982376,32.50103825136612,26.79103825136612,85.45027322404371,14.830374865983933,4.687721089955248,4.334339371470489,204.9408679239539,2.0082839821266005,226903.0,2012.0,4530.0
banten,Kembang Kol (Ton),23.724001827525058,32.60109897850637,27.400979181006743,79.37162393000742,12.726238531075358,4.957477906879085,5.63551912568306,191.8764040012368,2.27840782438074,195951.0,2012.0,6.0
papua,Bawang Putih (Ton),22.492557345808617,30.33180090667387,25.72389111576261,83.80666683985002,13.653629342438697,4.165955422860128,4.993338153021499,208.8087549767317,2.441441348811119,42843.0,2014.0,0.0
sumatera barat,Terung (Ton),22.03391224622473,30.59484997863849,26.4301187265376,84.13191252993559,19.68213952328867,5.365376166738065,3.968287098749519,184.4102970056236,1.571879547657512,226377.0,2015.0,39115.0
kalimantan tengah,Kacang Merah (Ton),23.350427743521767,32.79786882803429,27.152128686524623,84.69547318504198,15.400589437730812,5.196135174850741,3.988162068848762,185.1239198503548,1.6322227614016167,196553.0,2015.0,0.0
jambi,Tomat (Ton),21.811067232847417,30.827744019465605,25.3846120263268,83.48586896553255,11.786495685899297,4.107315813120549,4.078598376431952,196.24879241633167,2.373416263834468,101195.0,2014.0,14729.0
bengkulu,Bawang Daun (Ton),22.75817351598173,30.40977168949772,25.813698630136987,86.13538537760171,16.221330812221222,4.6968337556724205,6.163976799057941,258.39375605219226,2.3513369842201803,92976.0,2010.0,28500.0
riau,Paprika (Ton),23.312509402016865,32.34829753710982,27.120194082123533,80.42353433705983,10.531200222534553,4.254872043669333,4.261484718791474,185.08602394259745,2.6060393433172555,87594.0,2014.0,0.0
kalimantan selatan,Kacang Merah (Ton),23.664246879894414,32.76377662338533,27.234117002749205,80.80031568664789,14.013193630777858,5.763450286716988,4.690126169268823,177.08557407298534,1.808185215105664,450152.0,2015.0,0.0
banten,Melinjo (Ton),23.724001827525058,32.60109897850637,27.400979181006743,79.37162393000742,12.726238531075358,4.957477906879085,5.63551912568306,191.8764040012368,2.27840782438074,195951.0,2012.0,37414.0
banten,Paprika (Ton),23.8818880557532,32.35754557943067,27.37404813117089,80.50576674789986,13.805136163208214,5.093021234094846,4.982369146005509,181.9621640379644,2.2075719885996565,200480.0,2014.0,0.0
sulawesi tengah,Cabai Rawit (Ton),23.567056683048424,31.74876712328767,27.28328767123288,80.31950379074267,11.825079753029762,5.1296770758438655,4.875958856585238,265.8107345035765,1.950251447341953,137786.0,2011.0,14818.0
sumatera utara,Kubis (Ton),22.82169877362752,31.84112389517619,26.765010719870187,82.42961883235691,15.207516617452086,4.35329738040802,4.566520838968768,198.2760877452091,2.5789141136591653,448722.0,2012.0,180162.0
nusa tenggara barat,Tomat (Ton),23.266516588298472,32.467224491431296,27.01187396529924,79.886504370892,13.078288081083295,6.265046452789789,5.186645742339935,219.46954759430403,2.501059807136452,253208.0,2013.0,28839.0
kalimantan tengah,Cabai Besar (Ton),22.947945205479453,32.56958904109589,26.68761643835617,85.53479452054795,14.503596233364789,4.776485949827565,4.3286893051527695,210.07464535312056,2.096225766308891,202237.0,2011.0,1123.0
sulawesi selatan,Melinjo (Ton),22.693166990398552,31.805800571538903,26.480347047643576,79.37519971301863,18.513194863739308,7.116750670916426,4.7388779868432,195.55365674694804,1.8941271092481784,628148.0,2015.0,340.0
jawa barat,Labu Siam (Ton),21.229332280760246,30.10612109574468,24.684088693199048,81.29520947585635,16.432158608562773,5.159721089459346,3.7138756888192015,219.0702624563104,1.602340812401678,924307.0,2014.0,122392.0
riau,Petsai/Sawi (Ton),23.312509402016865,32.34829753710982,27.120194082123533,80.42353433705983,10.531200222534553,4.254872043669333,4.261484718791474,185.08602394259745,2.6060393433172555,87594.0,2014.0,3189.0
sumatera utara,Petsai/Sawi (Ton),22.77505863579537,32.16165729894376,27.03886986301369,83.49246575342465,15.100374999898913,4.277025772690907,4.510575292103143,219.4373009394756,2.504176543117556,468724.0,2010.0,87757.0
riau,Cabai Rawit (Ton),23.168493334357446,32.150958904109594,26.92339993325568,81.87728361302459,13.66105635723614,4.13194058054598,5.029645354912569,228.7710532404666,3.0854448852003085,115897.0,2011.0,5329.0
sumatera selatan,Lobak (Ton),23.91917808219178,32.40123287671233,26.64808219178082,84.31917808219178,15.755122082450043,4.323888260243997,6.908219178082192,208.5205479452055,2.082344309869463,612424.0,2013.0,0.0
maluku,Bawang Daun (Ton),24.214209765016708,31.010062495818445,27.37795260605626,85.10317428576714,14.632622328087102,5.040138212484565,5.08238764107898,199.80620497190665,2.486819913886992,11451.0,2010.0,11.0
jawa timur,Kacang Panjang (Ton),22.72117808219178,30.461616438356163,26.062575342465752,78.99671232876712,15.464771079012651,5.225951517177965,5.4554996200088,167.48873005231715,2.746121191999389,1106449.0,2011.0,36853.0
jawa tengah,Kacang Merah (Ton),25.031287671232874,31.62876712328767,27.9252602739726,79.68,15.990217436209582,5.149725495086774,5.58904370167891,216.64221054447543,2.3647465302053177,962471.0,2010.0,6595.0
aceh,Kembang Kol (Ton),21.71625769702772,30.952622610549817,25.96816419525525,84.29323015467558,14.062999581535928,3.9958011671292657,5.145111599840876,200.3062763976975,2.583148264641969,300808.0,2013.0,897.0
gorontalo,Kentang (Ton),22.947945205479453,32.42821917808219,27.08630136986301,82.32876712328768,10.919643466381125,3.8989636688505054,4.588484085853496,215.26785424706304,1.4363055853900828,28707.0,2011.0,0.0
gorontalo,Wortel (Ton),23.760229138166896,32.77231894484412,27.35573088092933,81.68875855327468,11.82967924528302,5.316847826086956,3.7894209838920334,213.93730529595013,1.494039336366069,32239.0,2013.0,0.0
